"","X","model_scenario","temp","Value","L","share2030","u2030","Value2040","nuclear_value","wind_value","solar_value","group"
"1",1,"AIM/CGE 2.0_SSP1-26","2.0°C",34.67,9219.4939,0.164523731987438,44.0767449607964,1336.2654,37.8042633159259,29.9583390275167,46.7758566576754,"below solar"
"2",7,"AIM/CGE 2.1_CD-LINKS_NPi2020_1000","2.0°C",165.1229,25642.0757,0.783577610169843,41.9544439421155,5486.5234,31.0432042198686,26.111302575684,32.001655934855,"above"
"3",47,"COFFEE 1.1_CO_2Deg2030","2.0°C",34.67,23622.737095,0.164523731987438,53.7474789051856,2558.785451,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"4",50,"COFFEE 1.1_EN_INDCi2030_1000","2.0°C",34.67,17343.495728,0.164523731987438,56.0320606394723,2965.461446,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"5",51,"COFFEE 1.1_EN_INDCi2030_1000_NDCp","2.0°C",34.67,17339.673943,0.164523731987438,57.6101881646144,3279.417553,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"6",53,"COFFEE 1.1_EN_INDCi2030_1200","2.0°C",34.67,16904.89715375,0.164523731987438,52.6607878445579,2383.57507317,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"7",63,"COFFEE 1.1_EN_INDCi2030_400f","1.5°C",34.67,25489.044897,0.164523731987438,57.715515837177,3301.399255,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"8",64,"COFFEE 1.1_EN_INDCi2030_500","2.0°C",34.67,17199.034708,0.164523731987438,61.9387417136498,4299.930597,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"9",65,"COFFEE 1.1_EN_INDCi2030_500f","1.5°C",34.67,25450.620208,0.164523731987438,55.7120375399581,2905.197875,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"10",66,"COFFEE 1.1_EN_INDCi2030_600","2.0°C",34.67,16995.702096,0.164523731987438,61.9095479860735,4292.185124,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"11",67,"COFFEE 1.1_EN_INDCi2030_600_NDCp","2.0°C",34.67,17323.932982,0.164523731987438,61.9992595848524,4316.02685,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"12",68,"COFFEE 1.1_EN_INDCi2030_600f","2.0°C",34.67,23567.811438,0.164523731987438,53.7474789051856,2558.785451,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"13",69,"COFFEE 1.1_EN_INDCi2030_700","2.0°C",34.67,17241.461025,0.164523731987438,61.5304447677578,4192.738057,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"14",70,"COFFEE 1.1_EN_INDCi2030_700f","2.0°C",34.67,23625.351569,0.164523731987438,52.3664863884204,2338.020791,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"15",71,"COFFEE 1.1_EN_INDCi2030_800","2.0°C",34.67,17343.495728,0.164523731987438,56.0320606394723,2965.461446,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"16",72,"COFFEE 1.1_EN_INDCi2030_800f","2.0°C",34.67,23809.240616,0.164523731987438,50.6525946501107,2087.949545,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"17",73,"COFFEE 1.1_EN_INDCi2030_900","2.0°C",34.67,16972.58974462,0.164523731987438,58.2575356248626,3416.62904134,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"18",74,"COFFEE 1.1_EN_INDCi2030_900f","2.0°C",34.67,23782.60157,0.164523731987438,49.5233479596716,1936.618021,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"19",77,"COFFEE 1.1_EN_NPi2020_1200","2.0°C",134.834966,16691.107501,0.639848624422246,28.9639364661716,1715.873787,31.9154639569613,27.3378064555612,33.9870198001547,"below nuclear"
"20",96,"COFFEE 1.1_EN_NPi2020_700f","2.0°C",311.177133,23868.884689,1.47666637526136,20.9718685132595,2088.582153,28.3217757684003,22.9140443844613,NA,"below wind"
"21",98,"COFFEE 1.1_EN_NPi2020_800f","2.0°C",130.848267,23942.235734,0.620930060886319,29.2787045405135,1706.231244,32.0302765757952,27.4992470408253,34.3330804039466,"below nuclear"
"22",100,"COFFEE 1.1_EN_NPi2020_900f","2.0°C",36.622356,23911.424402,0.173788482356289,45.9425492337057,1605.334576,37.6592597056382,30.3156107814386,46.3636401551505,"below solar"
"23",102,"GCAM 5.3_NGFS2_Below 2°C","2.0°C",115.0102335,12311.60274,0.545771930549946,35.3111892372083,2366.32066,32.4871931359243,27.1756037874693,35.7078818213312,"below solar"
"24",103,"GCAM 5.3_NGFS2_Delayed Transition","2.0°C",34.67,11236.37058,0.164523731987438,59.7723681655351,3758.119328,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"25",136,"GEM-E3_V2021_EN_INDCi2030_1000","2.0°C",34.67,16116.3216221817,0.164523731987438,55.4848214607888,2863.08231650338,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"26",137,"GEM-E3_V2021_EN_INDCi2030_1000_COV","2.0°C",34.67,15046.94480739,0.164523731987438,54.2095566672649,2636.73648056407,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"27",138,"GEM-E3_V2021_EN_INDCi2030_1000_COV_NDCp","2.0°C",34.67,15139.3069764403,0.164523731987438,53.1501946953461,2461.10064447398,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"28",139,"GEM-E3_V2021_EN_INDCi2030_1000_NDCp","2.0°C",34.67,16321.7677388514,0.164523731987438,55.0850568153381,2790.31591720891,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"29",140,"GEM-E3_V2021_EN_INDCi2030_1000f","2.0°C",34.67,16112.6277683252,0.164523731987438,52.7163317490412,2392.26165485634,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"30",141,"GEM-E3_V2021_EN_INDCi2030_1000f_COV","2.0°C",34.67,15053.1848866608,0.164523731987438,51.7405207719614,2243.72457091394,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"31",142,"GEM-E3_V2021_EN_INDCi2030_1000f_COV_NDCp","2.0°C",34.67,15067.4499075051,0.164523731987438,51.5717397799774,2218.89216939871,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"32",143,"GEM-E3_V2021_EN_INDCi2030_1000f_NDCp","2.0°C",34.67,16210.3848614277,0.164523731987438,52.586020844833,2371.9269933985,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"33",144,"GEM-E3_V2021_EN_INDCi2030_1400","2.0°C",34.67,16191.2192153283,0.164523731987438,49.4126087189366,1922.32284383392,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"34",145,"GEM-E3_V2021_EN_INDCi2030_1400f","2.0°C",34.67,16518.0693709949,0.164523731987438,49.4126087189366,1922.32284383392,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"35",148,"GEM-E3_V2021_EN_INDCi2030_600f","1.5°C",34.67,15172.4783087274,0.164523731987438,57.3603656146132,3227.80582706955,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"36",149,"GEM-E3_V2021_EN_INDCi2030_600f_COV","1.5°C",34.67,14026.5396369873,0.164523731987438,55.729286024263,2908.41761617812,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"37",150,"GEM-E3_V2021_EN_INDCi2030_600f_COV_NDCp","1.5°C",34.67,14030.4718767154,0.164523731987438,55.7095609653101,2904.73584106957,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"38",151,"GEM-E3_V2021_EN_INDCi2030_600f_NDCp","1.5°C",34.67,15183.3883664004,0.164523731987438,57.2397260767826,3203.14521136055,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"39",152,"GEM-E3_V2021_EN_INDCi2030_800","2.0°C",34.67,15193.91436319,0.164523731987438,58.7455193395137,3523.45396388424,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"40",153,"GEM-E3_V2021_EN_INDCi2030_800f","1.5°C",34.67,15432.2085094307,0.164523731987438,56.1223176106121,2982.6599213332,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"41",154,"GEM-E3_V2021_EN_NPi2020_1000","2.0°C",34.67,16387.9230663633,0.164523731987438,52.6588830275227,2383.27768052929,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"42",155,"GEM-E3_V2021_EN_NPi2020_1000_COV","2.0°C",34.67,15072.9295837569,0.164523731987438,51.1339706180537,2155.6327109899,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"43",156,"GEM-E3_V2021_EN_NPi2020_1000f","2.0°C",34.67,16254.933142798,0.164523731987438,51.9562670350246,2275.83096843931,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"44",157,"GEM-E3_V2021_EN_NPi2020_1000f_COV","2.0°C",34.67,15201.5970092927,0.164523731987438,50.9485631657217,2129.33344856889,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"45",159,"GEM-E3_V2021_EN_NPi2020_1400f","2.0°C",34.67,16522.4739113936,0.164523731987438,51.0851184499636,2148.6750239584,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"46",162,"GEM-E3_V2021_EN_NPi2020_400f","1.5°C",34.67,15721.7652879812,0.164523731987438,55.4823201849524,2862.62176735453,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"47",163,"GEM-E3_V2021_EN_NPi2020_500","1.5°C",34.67,14765.4132633419,0.164523731987438,59.3735697945435,3665.36177475038,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"48",164,"GEM-E3_V2021_EN_NPi2020_500f","1.5°C",34.67,15772.2841972781,0.164523731987438,54.8966533651164,2756.60277075391,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"49",165,"GEM-E3_V2021_EN_NPi2020_600","1.5°C",34.67,15819.118987564,0.164523731987438,58.7293817527057,3519.87376580958,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"50",166,"GEM-E3_V2021_EN_NPi2020_600_COV","1.5°C",34.67,13935.4594409657,0.164523731987438,56.9247926036749,3139.56497268307,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"51",167,"GEM-E3_V2021_EN_NPi2020_600f","1.5°C",34.67,15811.8857519428,0.164523731987438,54.6873497892437,2719.57994899275,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"52",168,"GEM-E3_V2021_EN_NPi2020_600f_COV","1.5°C",34.67,14109.1665212102,0.164523731987438,54.3535317658563,2661.45760125154,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"53",169,"GEM-E3_V2021_EN_NPi2020_800","2.0°C",34.67,16085.4251635375,0.164523731987438,55.2709149779274,2823.93674069394,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"54",170,"GEM-E3_V2021_EN_NPi2020_800f","2.0°C",34.67,16029.7831821288,0.164523731987438,52.6527074088359,2382.31373170116,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"55",171,"IMAGE 3.0.1_CD-LINKS_INDC2030i_1600","2.0°C",216.946692293277,23248.5625768701,1.02950330136776,25.1897007025645,2051.34659291555,29.4312213273394,25.388996481124,30.1914704723113,"below wind"
"56",172,"IMAGE 3.0.1_CD-LINKS_NDC2030i_1000","2.0°C",146.105589539123,20294.2436113954,0.693332473469895,31.7105713983142,2295.47818331048,31.5908821903375,26.8814047908134,33.0086869019199,"below solar"
"57",198,"IMAGE 3.0_CO_Bridge","2.0°C",229.43474984883,22581.1042872568,1.08876438686858,34.2999639656744,4379.4357329607,29.0228380568161,24.8962243838083,NA,"above"
"58",224,"IMAGE 3.2_SSP1_SPA1_26I_LI","2.0°C",351.450976404336,14334.0979368108,1.66778270114422,22.0034550430107,2567.94697317978,28.0679153922857,22.1835401865896,NA,"below wind"
"59",225,"IMAGE 3.2_SSP1_SPA1_26I_LIRE","2.0°C",359.608042629842,26206.1913533987,1.70649141119582,17.6784360207985,1831.46352927397,27.9965251140989,22.0355838303952,NA,"below wind"
"60",280,"MESSAGEix-GLOBIOM 1.0_LowEnergyDemand_1.3_IPCC","1.5°C",34.67,34.67,0.164523731987438,0,34.67,37.8042633159259,29.9583390275167,46.7758566576754,"below wind"
"61",281,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1000","2.0°C",34.67,14797.863798271,0.164523731987438,48.887727759688,1855.84995953336,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"62",282,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1000_COV","2.0°C",34.67,14247.1878547908,0.164523731987438,46.8926074358567,1621.63549065311,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"63",283,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1000_COV_NDCp","2.0°C",39.6516115154957,14110.87328331,0.188163573863438,44.6365858352649,1588.70206235255,37.4342735933561,30.3349692446953,45.7240492640159,"below solar"
"64",284,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1000_NDCp","2.0°C",55.0965088381155,14651.0276445982,0.261456107687499,41.7162003475388,1800.19303599348,36.1532601649417,30.1126019186402,42.6154965309782,"below solar"
"65",285,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1000f","2.0°C",34.67,10518.9047679975,0.164523731987438,44.441611527654,1370.49385781023,37.8042633159259,29.9583390275167,46.7758566576754,"below solar"
"66",286,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1000f_COV","2.0°C",34.67,9895.67186974798,0.164523731987438,41.6621663515914,1128.47678899823,37.8042633159259,29.9583390275167,46.7758566576754,"below solar"
"67",287,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1000f_COV_NDCp","2.0°C",39.6516115154957,9874.73391470259,0.188163573863438,39.0993782064047,1075.258115189,37.4342735933561,30.3349692446953,45.7240492640159,"below solar"
"68",288,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1000f_NDCp","2.0°C",55.0965088381155,10516.1214309338,0.261456107687499,38.288199472581,1409.20865513267,36.1532601649417,30.1126019186402,42.6154965309782,"below solar"
"69",289,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1200","2.0°C",34.67,14102.0178323612,0.164523731987438,44.9521424070794,1419.71191830353,37.8042633159259,29.9583390275167,46.7758566576754,"below solar"
"70",290,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1200_COV","2.0°C",34.67,13673.4617036772,0.164523731987438,42.2974179768797,1180.11420875576,37.8042633159259,29.9583390275167,46.7758566576754,"below solar"
"71",291,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1200_COV_NDCp","2.0°C",39.6516115154957,13122.7309139504,0.188163573863438,39.900628780119,1138.82634880111,37.4342735933561,30.3349692446953,45.7240492640159,"below solar"
"72",292,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1200_NDCp","2.0°C",55.0965088381155,14226.5633308645,0.261456107687499,38.6273489841506,1444.15318537662,36.1532601649417,30.1126019186402,42.6154965309782,"below solar"
"73",293,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1200f","2.0°C",34.67,10005.567577318,0.164523731987438,38.5915231327269,906.401298301998,37.8042633159259,29.9583390275167,46.7758566576754,"below solar"
"74",294,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1200f_COV","2.0°C",34.67,10585.0175923866,0.164523731987438,36.8986083710149,801.575021695911,37.8042633159259,29.9583390275167,46.7758566576754,"below nuclear"
"75",295,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1200f_COV_NDCp","2.0°C",39.6516115154957,10493.1433964402,0.188163573863438,34.9771265045944,795.907552265071,37.4342735933561,30.3349692446953,45.7240492640159,"below nuclear"
"76",296,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1200f_NDCp","2.0°C",55.0965088381155,10005.5876984872,0.261456107687499,33.0398184317504,957.06297606145,36.1532601649417,30.1126019186402,42.6154965309782,"below nuclear"
"77",297,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1400","2.0°C",34.67,12760.7935089376,0.164523731987438,37.9838013039983,867.430908214178,37.8042633159259,29.9583390275167,46.7758566576754,"below solar"
"78",298,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1400_COV","2.0°C",34.67,13585.7760285388,0.164523731987438,36.1406845461228,758.286181392281,37.8042633159259,29.9583390275167,46.7758566576754,"below nuclear"
"79",299,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1400_COV_NDCp","2.0°C",39.6516115154957,13541.2032896734,0.188163573863438,34.1199778662439,746.78497820172,37.4342735933561,30.3349692446953,45.7240492640159,"below nuclear"
"80",300,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1400_NDCp","2.0°C",55.0965088381155,12724.7837853339,0.261456107687499,32.5140506443859,919.905840786233,36.1532601649417,30.1126019186402,42.6154965309782,"below nuclear"
"81",301,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1400f","2.0°C",34.67,10904.7466197603,0.164523731987438,35.2232825834648,708.710039800564,37.8042633159259,29.9583390275167,46.7758566576754,"below nuclear"
"82",302,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1400f_COV","2.0°C",34.67,12246.788150201,0.164523731987438,32.7482314670716,589.170889962207,37.8042633159259,29.9583390275167,46.7758566576754,"below nuclear"
"83",303,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1400f_COV_NDCp","2.0°C",39.6516115154957,12435.2476597485,0.188163573863438,31.0666771904916,593.176224791605,37.4342735933561,30.3349692446953,45.7240492640159,"below nuclear"
"84",304,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1400f_NDCp","2.0°C",55.0965088381155,10991.3225500498,0.261456107687499,29.8503446461239,750.85339279278,36.1532601649417,30.1126019186402,42.6154965309782,"below wind"
"85",306,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1600_COV","2.0°C",34.67,13215.8488676537,0.164523731987438,29.5979761819066,463.378668787973,37.8042633159259,29.9583390275167,46.7758566576754,"below wind"
"86",307,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1600_COV_NDCp","2.0°C",39.6516115154957,13150.4096142288,0.188163573863438,27.3806899207616,445.960927904144,37.4342735933561,30.3349692446953,45.7240492640159,"below wind"
"87",337,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_600f_COV","1.5°C",34.67,12216.386563388,0.164523731987438,48.0240270402382,1750.95906572488,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"88",338,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_600f_COV_NDCp","1.5°C",39.6516115154957,12060.0331193697,0.188163573863438,45.7345624462674,1713.50926222492,37.4342735933561,30.3349692446953,45.7240492640159,"above"
"89",339,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_700f","1.5°C",34.67,12189.6580694668,0.164523731987438,48.086945165907,1758.4158296559,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"90",340,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_700f_COV","1.5°C",34.67,11568.940897345,0.164523731987438,46.9740997186532,1630.65440463146,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"91",341,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_700f_COV_NDCp","1.5°C",39.6516115154957,11275.8034327888,0.188163573863438,44.9077124044928,1618.73533675742,37.4342735933561,30.3349692446953,45.7240492640159,"below solar"
"92",342,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_700f_NDCp","1.5°C",55.0965088381155,12182.5859231983,0.261456107687499,41.3430315044839,1753.3479039249,36.1532601649417,30.1126019186402,42.6154965309782,"below solar"
"93",343,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_800f","2.0°C",34.67,11370.4503584616,0.164523731987438,46.7597413696689,1607.0271685927,37.8042633159259,29.9583390275167,46.7758566576754,"below solar"
"94",344,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_800f_COV","2.0°C",34.67,10938.9095939641,0.164523731987438,45.7115611340206,1495.87034844281,37.8042633159259,29.9583390275167,46.7758566576754,"below solar"
"95",345,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_800f_COV_NDCp","2.0°C",39.6516115154957,10896.3304359193,0.188163573863438,43.3516210332806,1453.07130361598,37.4342735933561,30.3349692446953,45.7240492640159,"below solar"
"96",346,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_800f_NDCp","2.0°C",55.0965088381155,11356.6355919946,0.261456107687499,40.2535458015276,1622.79095027658,36.1532601649417,30.1126019186402,42.6154965309782,"below solar"
"97",347,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_900f","2.0°C",34.67,11021.5596786984,0.164523731987438,45.7900046412421,1503.94287138142,37.8042633159259,29.9583390275167,46.7758566576754,"below solar"
"98",348,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_900f_COV","2.0°C",34.67,10497.9493170972,0.164523731987438,43.8681360136551,1317.04316836201,37.8042633159259,29.9583390275167,46.7758566576754,"below solar"
